name,gender,street,address,email,age,dateOfBirth,registrationSeniority,phone,cell,picture,nationality
"Jade Rey","female","4984, Quai Chauveau","Strasbourg - Côtes-D'Armor","jade.rey@example.com",42,"Apr 17th 80","18 years ago","03-97-52-91-41","06-59-50-67-97",{"large":"https://randomuser.me/api/portraits/women/82.jpg","medium":"https://randomuser.me/api/portraits/med/women/82.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/82.jpg"},"FR"
"Yasemin Pektemek","female","9322, Maçka Cd","Batman - Mardin","yasemin.pektemek@example.com",78,"Sep 8th 44","19 years ago","(942)-161-2632","(387)-045-5647",{"large":"https://randomuser.me/api/portraits/women/87.jpg","medium":"https://randomuser.me/api/portraits/med/women/87.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/87.jpg"},"TR"
"Loeci Cardoso","female","8098, Rua Santa Maria ","Queimados - São Paulo","loeci.cardoso@example.com",53,"Apr 20th 69","20 years ago","(50) 4409-2486","(12) 9361-0210",{"large":"https://randomuser.me/api/portraits/women/58.jpg","medium":"https://randomuser.me/api/portraits/med/women/58.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/58.jpg"},"BR"
"Alizee Fleury","female","3987, Rue Courbet","Caen - Gers","alizee.fleury@example.com",35,"Jul 7th 87","9 years ago","03-72-04-64-71","06-42-86-39-74",{"large":"https://randomuser.me/api/portraits/women/82.jpg","medium":"https://randomuser.me/api/portraits/med/women/82.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/82.jpg"},"FR"
"Begüm Saygıner","female","4815, Talak Göktepe Cd","Bolu - Muğla","begum.sayginer@example.com",54,"Oct 27th 68","6 years ago","(062)-373-3960","(241)-540-9636",{"large":"https://randomuser.me/api/portraits/women/34.jpg","medium":"https://randomuser.me/api/portraits/med/women/34.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/34.jpg"},"TR"
"Elisete Vieira","female","8873, Rua Maranhão ","Rio Claro - Amazonas","elisete.vieira@example.com",66,"Sep 17th 56","9 years ago","(48) 2796-5974","(50) 4335-3118",{"large":"https://randomuser.me/api/portraits/women/31.jpg","medium":"https://randomuser.me/api/portraits/med/women/31.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/31.jpg"},"BR"
"Louise Vidal","female","2359, Rue des Jardins","Rouen - Seine-Maritime","louise.vidal@example.com",54,"Nov 16th 68","16 years ago","03-96-40-45-98","06-61-05-92-57",{"large":"https://randomuser.me/api/portraits/women/57.jpg","medium":"https://randomuser.me/api/portraits/med/women/57.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/57.jpg"},"FR"
"Anália Silva","female","3572, Rua Três","Palhoça - Distrito Federal","analia.silva@example.com",57,"Nov 25th 65","15 years ago","(67) 4442-6456","(73) 8299-6593",{"large":"https://randomuser.me/api/portraits/women/25.jpg","medium":"https://randomuser.me/api/portraits/med/women/25.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/25.jpg"},"BR"
"Lucy Dubois","female","56, Rue des Jardins","Limoges - Pyrénées-Atlantiques","lucy.dubois@example.com",65,"Dec 27th 57","14 years ago","05-69-23-39-64","06-84-91-57-89",{"large":"https://randomuser.me/api/portraits/women/58.jpg","medium":"https://randomuser.me/api/portraits/med/women/58.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/58.jpg"},"FR"
"Sara Boyer","female","2426, Rue Duguesclin","Villeurbanne - Hautes-Alpes","sara.boyer@example.com",73,"Nov 6th 49","8 years ago","03-52-64-87-12","06-54-01-41-17",{"large":"https://randomuser.me/api/portraits/women/32.jpg","medium":"https://randomuser.me/api/portraits/med/women/32.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/32.jpg"},"FR"
"Gisele Moreira","female","9174, Rua da Saudade","São Gonçalo - Rio Grande do Norte","gisele.moreira@example.com",68,"Jul 27th 54","20 years ago","(98) 5548-3147","(07) 7402-3272",{"large":"https://randomuser.me/api/portraits/women/60.jpg","medium":"https://randomuser.me/api/portraits/med/women/60.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/60.jpg"},"BR"
"Alícia Ferreira","female","2852, Rua Belo Horizonte ","Santos - Sergipe","alicia.ferreira@example.com",64,"Nov 17th 58","9 years ago","(11) 4396-2200","(44) 0836-5399",{"large":"https://randomuser.me/api/portraits/women/94.jpg","medium":"https://randomuser.me/api/portraits/med/women/94.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/94.jpg"},"BR"
"Nancy da Mata","female","486, Rua Rio de Janeiro ","Guarapuava - Mato Grosso do Sul","nancy.damata@example.com",74,"Dec 27th 48","11 years ago","(31) 8699-1522","(66) 4553-4886",{"large":"https://randomuser.me/api/portraits/women/28.jpg","medium":"https://randomuser.me/api/portraits/med/women/28.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/28.jpg"},"BR"
"Buse Akman","female","5324, Necatibey Cd","Hatay - Iğdır","buse.akman@example.com",40,"Jan 5th 82","9 years ago","(375)-601-1537","(256)-827-0733",{"large":"https://randomuser.me/api/portraits/women/44.jpg","medium":"https://randomuser.me/api/portraits/med/women/44.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/44.jpg"},"TR"
"Deodora da Cunha","female","7307, Avenida D. Pedro Ii","Poá - Mato Grosso","deodora.dacunha@example.com",71,"Aug 8th 51","12 years ago","(30) 9817-0024","(75) 4550-0340",{"large":"https://randomuser.me/api/portraits/women/94.jpg","medium":"https://randomuser.me/api/portraits/med/women/94.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/94.jpg"},"BR"
"Esma Kaplangı","female","3077, Atatürk Sk","Batman - Sinop","esma.kaplangi@example.com",69,"Jun 13th 53","9 years ago","(851)-004-4012","(929)-779-9809",{"large":"https://randomuser.me/api/portraits/women/20.jpg","medium":"https://randomuser.me/api/portraits/med/women/20.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/20.jpg"},"TR"
"Alda Pereira","female","1801, Rua Pará ","Juiz de Fora - Pernambuco","alda.pereira@example.com",47,"Oct 1st 75","5 years ago","(41) 4450-1711","(38) 2780-1750",{"large":"https://randomuser.me/api/portraits/women/88.jpg","medium":"https://randomuser.me/api/portraits/med/women/88.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/88.jpg"},"BR"
"Elaine Ferreira","female","8187, Rua Rui Barbosa ","Volta Redonda - Rio de Janeiro","elaine.ferreira@example.com",31,"Nov 19th 91","10 years ago","(06) 4447-3122","(78) 5868-7240",{"large":"https://randomuser.me/api/portraits/women/63.jpg","medium":"https://randomuser.me/api/portraits/med/women/63.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/63.jpg"},"BR"
"Nurdan Oraloğlu","female","3052, Doktorlar Cd","Çorum - Kilis","nurdan.oraloglu@example.com",38,"Apr 19th 84","4 years ago","(584)-536-6129","(912)-124-4551",{"large":"https://randomuser.me/api/portraits/women/44.jpg","medium":"https://randomuser.me/api/portraits/med/women/44.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/44.jpg"},"TR"
"Estelle Lefevre","female","7451, Rue Louis-Blanqui","Argenteuil - Tarn","estelle.lefevre@example.com",40,"Feb 5th 82","16 years ago","05-78-19-53-94","06-24-11-06-24",{"large":"https://randomuser.me/api/portraits/women/18.jpg","medium":"https://randomuser.me/api/portraits/med/women/18.jpg","thumbnail":"https://randomuser.me/api/portraits/thumb/women/18.jpg"},"FR"
